ID,condition,live_caves,ride_lions,farm_potatoes,play_banjo,look_left,clap_three,smile_sad,chug_syrup,yell_cats,go_opera,dance_fire,sing_songs,scream_windows,smell_garbage,wash_ponds,paint_hands,Ethnicity,Gender,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17
1227,generic,25,16,40,61,50,89,4,72,17,5,63,75,71,77,16,35,White/Caucasian,Man (including Trans Male/Trans Man),"English, Japanese, Spanish",24,Male,White,United States,United States,United States,English,No,Full-Time,yellow,banjo,pond,song,attention I1,clap,look left,cave,sad,dance,cats,garbage,window,opera,potatoes,lion,maple syrup
1228,generic,15,37,64,40,50,87,3,39,9,0,76,47,23,23,75,45,White/Caucasian,Woman (including Trans Female/Trans Woman),English,28,Female,White,United States,United States,United States,English,No,Other,opera,dance,cats,attention I1,yellow,maple syrup,clap,song,look left,window,banjo,pond,cave,sad,potatoes,lion,garbage
1229,baseline,97,24,62,28,68,96,100,76,25,50,78,52,62,98,93,50,Latino/Hispanic,Woman (including Trans Female/Trans Woman),"English, Spanish, Italian",37,Female,White,DATA_EXPIRED,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED,garbage,maple syrup,pond,song,dance,look left,sad,yellow,cave,clap,window,opera,attention I1,banjo,potatoes,cats,lion
1230,baseline,55,47,39,17,6,75,50,72,25,2,69,65,15,36,57,9,White/Caucasian,Woman (including Trans Female/Trans Woman),English,63,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,sad,pond,attention I1,dance,cats,clap,banjo,song,window,cave,yellow,look left,lion,garbage,potatoes,opera,maple syrup
1231,specific,50,2,9,11,50,86,9,84,75,24,8,93,11,77,76,10,South East Asian,Woman (including Trans Female/Trans Woman),English,36,Female,Asian,United States,United States,United States,Tagalog-Filipino,No,Full-Time,look left,yellow,sad,pond,window,dance,clap,cats,potatoes,garbage,song,maple syrup,opera,attention I1,banjo,cave,lion
1232,baseline,45,45,40,35,50,55,10,50,40,50,75,30,35,45,60,50,White/Caucasian,Man (including Trans Male/Trans Man),English,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),maple syrup,potatoes,lion,clap,cave,pond,attention I1,dance,window,cats,yellow,look left,song,garbage,banjo,opera,sad
1233,specific,0,0,1,2,90,0,2,1,15,1,2,10,25,0,3,0,White/Caucasian,Woman (including Trans Female/Trans Woman),English,61,Female,White,United States,United States,United States,English,No,Part-Time,look left,attention I1,garbage,clap,cats,banjo,sad,maple syrup,dance,pond,lion,opera,cave,potatoes,window,yellow,song
1234,specific,1,1,24,12,56,3,6,3,5,11,3,21,1,1,66,6,Mixed,Woman (including Trans Female/Trans Woman),English,60,Female,Mixed,United States,United States,United States,English,No,Full-Time,window,dance,song,potatoes,maple syrup,clap,lion,opera,cave,garbage,look left,banjo,sad,pond,cats,attention I1,yellow
1235,specific,10,1,5,5,2,2,1,2,3,10,3,20,5,20,10,5,White/Caucasian,Man (including Trans Male/Trans Man),English,53,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,garbage,cave,song,attention I1,banjo,yellow,window,potatoes,maple syrup,pond,opera,dance,look left,lion,cats,clap,sad
1236,specific,40,50,25,50,35,40,25,35,50,40,50,35,60,60,25,50,Black/African American,Man (including Trans Male/Trans Man),English,47,Male,Black,United States,United States,United States,English,Yes,Full-Time,banjo,look left,cats,garbage,clap,potatoes,song,window,lion,attention I1,dance,pond,sad,maple syrup,yellow,cave,opera
1237,baseline,56,47,73,45,75,25,90,18,10,48,60,40,10,2,83,18,White/Caucasian,Man (including Trans Male/Trans Man),English,19,Male,White,United States,United States,United States,English,Yes,Part-Time,banjo,window,cats,song,clap,opera,yellow,garbage,look left,lion,attention I1,cave,potatoes,dance,maple syrup,sad,pond
1238,generic,0,0,1,0,50,0,0,0,18,23,76,100,0,0,10,0,White/Caucasian,Man (including Trans Male/Trans Man),English,67,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",potatoes,sad,yellow,cave,banjo,attention I1,opera,dance,clap,lion,maple syrup,garbage,pond,window,song,cats,look left
1239,generic,0,1,2,1,3,0,0,1,1,5,5,85,5,1,5,1,White/Caucasian,Man (including Trans Male/Trans Man),English,59,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),potatoes,cave,song,cats,clap,banjo,pond,sad,opera,attention I1,lion,yellow,dance,window,look left,maple syrup,garbage
1240,generic,15,5,10,20,10,50,25,5,5,20,75,90,14,10,5,25,Mixed,Man (including Trans Male/Trans Man),English,30,Male,Mixed,United States,United States,United States,English,No,Full-Time,potatoes,garbage,dance,cave,opera,song,pond,look left,lion,clap,maple syrup,window,cats,sad,attention I1,banjo,yellow
1241,specific,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",27,Male,Other,United States,United States,United States,Spanish,No,Full-Time,attention I1,clap,opera,lion,sad,banjo,cats,cave,yellow,garbage,dance,look left,potatoes,song,maple syrup,window,pond
1242,generic,95,50,50,33,75,100,25,50,96,5,94,25,100,100,100,100,White/Caucasian,Man (including Trans Male/Trans Man),English,38,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,sad,opera,yellow,look left,song,cave,dance,cats,window,lion,attention I1,clap,maple syrup,pond,banjo,potatoes,garbage
1243,specific,25,25,15,5,50,1,5,1,50,1,75,35,1,1,75,12,Mixed,Woman (including Trans Female/Trans Woman),English,37,Female,White,United States,United States,United States,English,No,Other,look left,dance,lion,cats,maple syrup,garbage,pond,banjo,clap,cave,song,window,opera,potatoes,attention I1,yellow,sad
1244,baseline,50,1,25,20,25,1,10,1,25,10,25,50,25,25,50,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,42,Female,White,United States,United States,United States,English,No,Full-Time,garbage,dance,sad,clap,maple syrup,lion,banjo,attention I1,opera,cave,song,yellow,cats,pond,window,look left,potatoes
1245,baseline,4,1,62,9,25,3,10,1,20,10,4,64,24,1,8,2,White/Caucasian,Woman (including Trans Female/Trans Woman),English,38,Female,White,United States,United States,United States,English,No,Full-Time,sad,clap,opera,lion,song,window,maple syrup,garbage,banjo,look left,dance,pond,cave,potatoes,cats,yellow,attention I1
1246,specific,1,5,15,20,15,2,20,1,15,11,5,30,6,5,35,15,East Asian,Man (including Trans Male/Trans Man),"Chinese, English",20,Male,Asian,United States,United States,United States,Chinese,Yes,Part-Time,song,cats,clap,cave,opera,sad,window,lion,attention I1,garbage,potatoes,dance,maple syrup,yellow,banjo,pond,look left
1247,generic,40,41,27,54,51,40,35,34,55,46,41,57,48,44,39,43,Black/African American,Man (including Trans Male/Trans Man),English,32,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,pond,garbage,cave,banjo,attention I1,clap,window,sad,dance,potatoes,cats,maple syrup,yellow,look left,lion,opera,song
1248,specific,63,62,87,78,7,67,63,77,3,87,82,89,14,74,74,85,White/Caucasian,Woman (including Trans Female/Trans Woman),English,59,Female,White,United States,United States,United States,English,No,Full-Time,window,dance,cats,sad,cave,lion,clap,maple syrup,potatoes,yellow,attention I1,pond,opera,song,look left,banjo,garbage
1249,baseline,64,67,14,11,74,84,97,29,14,24,49,45,5,62,87,26,White/Caucasian,Woman (including Trans Female/Trans Woman),English,59,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,look left,opera,sad,song,garbage,yellow,attention I1,cave,window,clap,maple syrup,dance,lion,banjo,pond,potatoes,cats
1250,baseline,20,45,30,35,25,5,50,10,35,20,40,60,5,30,50,30,Black/African American,Man (including Trans Male/Trans Man),English,36,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),garbage,dance,sad,look left,song,pond,attention I1,potatoes,opera,yellow,maple syrup,cats,cave,banjo,lion,window,clap
1251,specific,24,53,48,59,34,54,27,25,25,26,67,89,68,73,67,100,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",30,Male,Other,United States,United States,United States,English,Yes,Full-Time,look left,attention I1,dance,potatoes,yellow,maple syrup,clap,garbage,banjo,cave,opera,song,sad,lion,cats,pond,window
1252,baseline,1,4,37,6,25,1,76,2,10,28,12,76,24,1,4,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,48,Female,Mixed,United States,United States,United States,English,No,Full-Time,look left,attention I1,opera,cats,dance,pond,yellow,banjo,maple syrup,garbage,cave,clap,lion,window,sad,potatoes,song
1253,specific,5,1,10,4,25,1,40,2,5,8,5,10,2,1,40,3,White/Caucasian,Man (including Trans Male/Trans Man),English,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,song,attention I1,pond,window,cats,clap,dance,potatoes,yellow,cave,sad,look left,lion,opera,garbage,maple syrup,banjo
1254,baseline,50,56,25,34,38,70,64,36,16,25,90,62,15,11,25,24,White/Caucasian,Woman (including Trans Female/Trans Woman),English,53,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,yellow,song,look left,opera,window,cats,sad,maple syrup,cave,attention I1,pond,garbage,banjo,lion,dance,potatoes,clap
1255,baseline,24,10,10,5,1,88,66,25,2,50,76,95,10,25,75,10,White/Caucasian,Woman (including Trans Female/Trans Woman),English,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",garbage,window,dance,banjo,attention I1,cats,clap,lion,sad,opera,cave,potatoes,look left,yellow,song,maple syrup,pond
1256,generic,5,5,5,5,1,5,0,1,5,5,10,75,1,1,10,2,White/Caucasian,Man (including Trans Male/Trans Man),English,46,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),song,cats,clap,potatoes,cave,lion,dance,banjo,opera,look left,yellow,maple syrup,sad,attention I1,garbage,window,pond
1257,generic,31,5,69,0,3,2,1,3,0,1,0,18,9,0,11,57,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",28,Male,Other,United States,United States,United States,Spanish,Yes,Full-Time,yellow,potatoes,cats,window,song,banjo,lion,maple syrup,garbage,clap,sad,cave,pond,opera,look left,attention I1,dance
1258,baseline,5,1,20,1,25,65,5,5,10,10,70,40,35,4,15,1,White/Caucasian,Man (including Trans Male/Trans Man),English,40,Male,White,United States,United States,United States,English,No,Full-Time,maple syrup,lion,potatoes,banjo,cave,sad,yellow,opera,attention I1,pond,look left,cats,clap,garbage,song,window,dance
1259,specific,20,30,40,40,40,25,25,15,20,50,35,35,32,15,45,43,Black/African American,Man (including Trans Male/Trans Man),English,40,Male,Black,United Kingdom,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,clap,maple syrup,garbage,song,cave,potatoes,opera,banjo,lion,dance,attention I1,pond,yellow,sad,look left,cats,window
1260,baseline,1,1,2,1,1,1,10,1,10,10,50,50,1,1,10,10,White/Caucasian,Man (including Trans Male/Trans Man),English,45,Male,White,United States,United States,United States,English,No,Full-Time,pond,opera,cats,look left,attention I1,garbage,yellow,potatoes,dance,clap,cave,song,window,banjo,lion,maple syrup,sad
1261,specific,30,40,90,40,52,95,41,60,60,5,85,25,70,80,95,83,White/Caucasian,Man (including Trans Male/Trans Man),English,27,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",cats,opera,garbage,attention I1,banjo,song,window,yellow,sad,potatoes,pond,look left,dance,clap,maple syrup,cave,lion
1262,baseline,57,15,10,16,46,57,100,6,7,7,76,50,5,24,6,4,Mixed,Man (including Trans Male/Trans Man),English,20,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,garbage,song,potatoes,banjo,cave,cats,pond,attention I1,maple syrup,window,look left,clap,lion,yellow,dance,opera,sad
1263,baseline,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,White/Caucasian,Man (including Trans Male/Trans Man),English,41,Male,White,United States,United States,United States,English,No,Full-Time,sad,song,yellow,lion,cats,window,look left,maple syrup,dance,clap,cave,garbage,pond,attention I1,banjo,opera,potatoes
1264,generic,100,33,5,3,50,88,1,1,2,15,10,30,5,1,99,80,White/Caucasian,Man (including Trans Male/Trans Man),English,42,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),banjo,attention I1,opera,sad,potatoes,look left,garbage,cats,cave,maple syrup,yellow,dance,window,lion,pond,song,clap
1265,baseline,25,50,25,8,100,100,100,34,1,25,100,25,100,100,10,50,White/Caucasian,Man (including Trans Male/Trans Man),English,33,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",yellow,banjo,attention I1,cats,clap,cave,opera,pond,maple syrup,sad,lion,look left,potatoes,garbage,song,dance,window
1266,baseline,81,11,43,26,25,24,50,20,34,23,50,62,24,21,75,25,White/Caucasian,Woman (including Trans Female/Trans Woman),English,71,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",sad,opera,banjo,cats,look left,window,attention I1,lion,garbage,yellow,potatoes,song,pond,cave,dance,maple syrup,clap
1267,generic,58,15,63,73,56,43,38,65,36,47,66,83,58,60,72,62,Black/African American,Man (including Trans Male/Trans Man),English,38,Male,Black,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,look left,potatoes,banjo,dance,clap,window,maple syrup,song,cats,cave,attention I1,lion,opera,garbage,pond,yellow,sad
1268,baseline,95,25,15,5,5,100,100,1,1,10,100,75,5,1,70,50,White/Caucasian,Man (including Trans Male/Trans Man),English,47,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),yellow,lion,sad,dance,window,maple syrup,clap,garbage,look left,song,cave,potatoes,opera,banjo,attention I1,cats,pond
1269,baseline,70,5,15,50,75,25,75,25,35,35,75,40,50,25,90,75,White/Caucasian,Man (including Trans Male/Trans Man),English,36,Male,White,United States,United States,United States,English,No,Full-Time,look left,banjo,attention I1,yellow,garbage,potatoes,lion,song,clap,window,sad,opera,dance,cave,cats,maple syrup,pond
1270,baseline,60,1,51,11,5,1,4,39,16,11,29,25,42,23,78,6,White/Caucasian,Woman (including Trans Female/Trans Woman),English,34,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,potatoes,cats,attention I1,dance,sad,banjo,pond,clap,cave,song,lion,maple syrup,opera,yellow,garbage,window,look left
1271,baseline,97,35,30,94,28,95,12,22,2,94,3,89,64,1,8,25,White/Caucasian,Man (including Trans Male/Trans Man),English,21,Male,White,United States,United States,United States,English,Yes,Full-Time,sad,banjo,look left,attention I1,opera,dance,song,garbage,cats,pond,yellow,potatoes,window,lion,clap,cave,maple syrup
1272,generic,1,13,10,6,1,5,5,1,4,63,100,50,13,50,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,song,potatoes,look left,opera,banjo,pond,attention I1,cave,clap,cats,maple syrup,yellow,dance,sad,window,garbage,lion
1273,baseline,61,3,8,25,100,20,76,51,16,34,89,97,13,5,79,30,White/Caucasian,Woman (including Trans Female/Trans Woman),"English, Spanish, Norwegian, Danish",40,Female,White,Italy,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,opera,garbage,cats,potatoes,maple syrup,clap,window,dance,lion,sad,banjo,pond,yellow,attention I1,look left,song,cave
1274,baseline,54,55,55,53,55,54,52,57,53,54,53,61,54,55,53,54,White/Caucasian,Man (including Trans Male/Trans Man),English,32,Male,White,United States,United States,United States,English,No,Full-Time,song,attention I1,yellow,potatoes,look left,maple syrup,lion,garbage,opera,cats,window,banjo,clap,cave,dance,sad,pond
1275,generic,24,39,23,26,19,37,21,29,42,87,49,88,40,13,11,59,East Asian,Man (including Trans Male/Trans Man),English,21,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,lion,potatoes,clap,look left,sad,yellow,song,opera,window,cats,dance,maple syrup,cave,attention I1,garbage,pond,banjo
1276,specific,10,2,16,13,34,11,7,25,7,14,63,48,52,34,5,15,White/Caucasian,Woman (including Trans Female/Trans Woman),English,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,maple syrup,window,potatoes,song,dance,look left,sad,banjo,yellow,attention I1,lion,clap,pond,garbage,opera,cats,cave
1277,baseline,76,18,15,5,85,89,87,11,15,10,75,10,16,4,50,25,White/Caucasian,Woman (including Trans Female/Trans Woman),English,59,Female,White,United States,United States,United States,English,No,Full-Time,attention I1,maple syrup,song,banjo,yellow,dance,opera,cats,garbage,potatoes,cave,window,lion,look left,sad,clap,pond
1278,generic,0,1,76,25,39,5,10,48,49,81,4,100,17,1,10,3,White/Caucasian,Woman (including Trans Female/Trans Woman),English,53,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking),sad,opera,song,clap,look left,maple syrup,window,cave,potatoes,attention I1,banjo,dance,lion,cats,yellow,pond,garbage
1279,baseline,31,11,74,12,25,24,37,10,24,23,76,74,51,20,50,52,White/Caucasian,Woman (including Trans Female/Trans Woman),English,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,song,cats,look left,clap,banjo,sad,dance,maple syrup,pond,window,attention I1,yellow,cave,lion,opera,garbage,potatoes
1280,baseline,25,24,25,24,50,24,23,25,25,25,24,25,25,24,25,24,White/Caucasian,Man (including Trans Male/Trans Man),English,70,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,yellow,garbage,sad,clap,opera,potatoes,cave,look left,cats,dance,lion,attention I1,banjo,maple syrup,window,song,pond
1281,baseline,35,35,15,12,8,25,40,5,10,10,15,95,15,50,95,90,White/Caucasian,Man (including Trans Male/Trans Man),English,54,Male,White,United States,United States,United States,English,No,Full-Time,yellow,pond,attention I1,garbage,song,sad,clap,window,lion,cats,dance,cave,opera,banjo,look left,maple syrup,potatoes
1282,generic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,White/Caucasian,Man (including Trans Male/Trans Man),English,52,Male,White,United States,United States,United States,English,No,Part-Time,attention I1,garbage,cave,window,sad,banjo,opera,lion,look left,clap,pond,yellow,maple syrup,song,cats,dance,potatoes
1283,baseline,47,2,18,16,23,75,26,1,44,7,52,36,3,17,21,52,White/Caucasian,Woman (including Trans Female/Trans Woman),English,58,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",yellow,potatoes,window,maple syrup,lion,opera,attention I1,pond,dance,sad,cave,look left,garbage,cats,clap,banjo,song
1284,generic,75,1,25,10,50,100,0,2,1,50,1,63,100,1,1,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,69,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",opera,maple syrup,attention I1,window,look left,sad,clap,cats,garbage,dance,potatoes,pond,yellow,lion,cave,song,banjo
1285,generic,11,2,24,51,24,10,1,5,100,77,100,100,48,2,50,49,White/Caucasian,Woman (including Trans Female/Trans Woman),English,50,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",cats,cave,song,dance,sad,lion,attention I1,yellow,banjo,pond,garbage,potatoes,clap,window,look left,opera,maple syrup
1286,generic,100,25,50,75,100,100,100,50,25,25,100,50,100,50,100,100,White/Caucasian,Woman (including Trans Female/Trans Woman),English,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",look left,clap,attention I1,window,dance,lion,pond,sad,yellow,garbage,cats,maple syrup,banjo,song,opera,cave,potatoes
1287,generic,2,12,49,50,26,38,51,77,9,76,51,93,15,49,19,99,White/Caucasian,Woman (including Trans Female/Trans Woman),English,41,Female,White,United States,United States,United States,English,No,Part-Time,cave,pond,song,potatoes,cats,window,lion,sad,garbage,look left,clap,dance,banjo,opera,yellow,attention I1,maple syrup
1288,baseline,50,25,50,10,50,50,75,10,1,25,100,50,1,10,100,80,Black/African American,Woman (including Trans Female/Trans Woman),English,43,Female,Black,United States,United States,United States,English,No,Part-Time,lion,maple syrup,song,look left,pond,cave,banjo,window,opera,garbage,attention I1,clap,cats,sad,dance,yellow,potatoes
1289,baseline,80,65,40,25,25,60,15,75,10,15,60,30,10,90,75,25,White/Caucasian,Woman (including Trans Female/Trans Woman),English,27,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",garbage,potatoes,maple syrup,banjo,attention I1,opera,song,dance,window,cats,yellow,pond,lion,sad,clap,cave,look left
1290,baseline,40,25,65,10,15,5,25,25,50,15,70,15,20,10,80,5,White/Caucasian,Man (including Trans Male/Trans Man),English,52,Male,White,United States,United States,United States,English,No,Full-Time,pond,maple syrup,cave,attention I1,opera,yellow,garbage,window,lion,clap,potatoes,banjo,song,cats,look left,dance,sad
1291,generic,2,1,39,25,3,7,11,1,3,13,12,45,50,2,24,2,White/Caucasian,Woman (including Trans Female/Trans Woman),English,56,Female,White,United States,United States,United States,English,No,Full-Time,clap,garbage,yellow,lion,look left,maple syrup,song,attention I1,cats,cave,potatoes,window,pond,opera,dance,banjo,sad
1292,specific,10,3,2,5,5,10,14,1,3,10,3,12,3,1,6,5,White/Caucasian,Man (including Trans Male/Trans Man),English,57,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",clap,cave,look left,yellow,opera,lion,dance,cats,window,pond,song,attention I1,sad,banjo,maple syrup,potatoes,garbage
1293,generic,62,46,60,40,56,45,41,57,57,54,66,51,58,78,62,64,White/Caucasian,Woman (including Trans Female/Trans Woman),English,48,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time,lion,opera,clap,attention I1,cats,look left,banjo,dance,garbage,potatoes,window,pond,cave,maple syrup,sad,yellow,song
1294,baseline,61,4,36,20,64,28,56,64,46,36,70,27,28,10,50,47,White/Caucasian,Woman (including Trans Female/Trans Woman),English,31,Female,White,United States,United States,United States,English,Yes,Full-Time,banjo,garbage,lion,clap,pond,sad,cave,opera,look left,dance,cats,window,maple syrup,attention I1,potatoes,yellow,song
1295,specific,25,9,50,25,36,16,24,50,24,12,30,75,40,40,74,30,White/Caucasian,Man (including Trans Male/Trans Man),English,38,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,garbage,look left,maple syrup,cave,clap,cats,pond,lion,sad,window,song,opera,dance,banjo,attention I1,yellow,potatoes
1296,specific,10,20,35,25,25,25,25,15,5,50,30,50,20,10,40,10,White/Caucasian,Woman (including Trans Female/Trans Woman),English,41,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",song,clap,garbage,lion,opera,sad,yellow,maple syrup,attention I1,window,look left,banjo,cats,dance,cave,pond,potatoes
1297,baseline,17,3,5,10,6,2,18,7,7,4,1,5,7,16,8,3,White/Caucasian,Man (including Trans Male/Trans Man),English,30,Male,White,United States,United States,United States,English,No,Full-Time,banjo,garbage,lion,cats,pond,clap,maple syrup,sad,cave,window,attention I1,potatoes,yellow,look left,dance,song,opera
1298,specific,10,11,7,6,13,13,10,5,4,50,9,79,9,7,5,6,Mixed,Woman (including Trans Female/Trans Woman),English,52,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking),attention I1,opera,song,clap,look left,window,sad,cave,lion,banjo,cats,garbage,potatoes,yellow,pond,dance,maple syrup
1299,generic,75,90,100,25,50,25,10,75,75,1,100,100,24,24,50,75,Latino/Hispanic,Woman (including Trans Female/Trans Woman),"Spanish, English",54,Female,Mixed,Nicaragua,United States,United States,Spanish,No,Unemployed (and job seeking),opera,cave,window,look left,maple syrup,potatoes,song,lion,pond,garbage,clap,attention I1,cats,dance,yellow,sad,banjo
1300,baseline,10,67,40,25,1,5,7,9,5,30,10,5,10,3,57,15,Black/African American,Man (including Trans Male/Trans Man),English,23,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),dance,clap,garbage,attention I1,lion,sad,banjo,cats,look left,potatoes,cave,yellow,song,maple syrup,pond,window,opera
1301,baseline,1,0,5,9,12,0,1,1,1,21,1,41,3,2,3,1,White/Caucasian,Man (including Trans Male/Trans Man),English,34,Male,White,United States,United States,United States,English,No,Full-Time,banjo,clap,window,sad,garbage,dance,cats,attention I1,potatoes,song,pond,look left,opera,maple syrup,lion,yellow,cave
1302,specific,25,10,70,25,40,60,35,60,5,10,50,50,50,30,70,70,White/Caucasian,Man (including Trans Male/Trans Man),English,31,Male,White,United States,United States,United States,English,No,Full-Time,cave,pond,dance,banjo,clap,lion,cats,sad,opera,potatoes,attention I1,garbage,song,look left,maple syrup,window,yellow
1303,specific,50,25,25,10,9,36,0,24,35,50,65,25,25,75,86,69,White/Caucasian,Man (including Trans Male/Trans Man),English,40,Male,White,United States,United States,United States,English,No,Full-Time,lion,attention I1,maple syrup,clap,look left,window,cats,potatoes,dance,opera,yellow,song,pond,banjo,garbage,cave,sad
1304,specific,0,45,78,5,4,6,0,25,1,17,8,62,10,0,50,0,Black/African American,Woman (including Trans Female/Trans Woman),English,48,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking),banjo,cave,opera,garbage,pond,maple syrup,sad,attention I1,song,yellow,look left,clap,lion,cats,window,dance,potatoes
1305,generic,1,0,3,1,0,1,0,1,1,2,0,5,1,0,1,25,White/Caucasian,Man (including Trans Male/Trans Man),English,64,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",opera,cave,cats,pond,banjo,garbage,sad,clap,look left,potatoes,window,song,maple syrup,attention I1,yellow,lion,dance
1306,baseline,51,14,6,9,38,11,34,13,5,16,77,51,25,25,61,10,White/Caucasian,Woman (including Trans Female/Trans Woman),English,23,Female,White,United States,United States,United States,English,Yes,Part-Time,garbage,opera,lion,dance,potatoes,yellow,pond,song,banjo,cats,cave,attention I1,sad,window,maple syrup,clap,look left
1307,specific,10,10,85,30,1,25,90,35,0,75,5,55,0,1,40,65,Latino/Hispanic,Man (including Trans Male/Trans Man),"English, Spanish",18,Male,Other,Mexico,United States,United States,English,Yes,Other,garbage,window,sad,yellow,potatoes,maple syrup,clap,look left,banjo,song,opera,dance,cave,cats,lion,attention I1,pond
1308,specific,11,2,71,11,5,8,5,6,9,29,9,20,1,1,71,13,White/Caucasian,Man (including Trans Male/Trans Man),English,33,Male,White,United States,United States,United States,English,No,Part-Time,banjo,song,look left,sad,yellow,cats,maple syrup,cave,attention I1,lion,garbage,window,pond,opera,dance,clap,potatoes
1309,baseline,12,25,50,8,4,76,24,3,50,6,50,19,9,2,75,25,White/Caucasian,Woman (including Trans Female/Trans Woman),English,37,Female,White,United States,United States,United States,English,No,Part-Time,clap,potatoes,sad,look left,pond,banjo,cave,attention I1,song,garbage,lion,yellow,opera,dance,cats,maple syrup,window
1310,generic,51,50,76,70,50,80,50,80,25,75,100,100,75,10,100,51,White/Caucasian,Woman (including Trans Female/Trans Woman),English,32,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,look left,opera,pond,cats,cave,song,attention I1,lion,potatoes,garbage,yellow,banjo,clap,window,maple syrup,sad,dance
1311,generic,60,17,23,27,8,1,1,1,14,41,50,49,42,1,43,1,White/Caucasian,Woman (including Trans Female/Trans Woman),English,40,Female,White,United States,United States,United States,English,No,Part-Time,sad,cats,garbage,clap,dance,yellow,pond,lion,attention I1,song,look left,cave,potatoes,maple syrup,window,banjo,opera
1312,baseline,85,2,10,4,50,1,75,5,10,25,95,25,10,1,95,50,White/Caucasian,Woman (including Trans Female/Trans Woman),English,44,Female,White,United States,United States,United States,English,No,Part-Time,sad,cave,song,yellow,maple syrup,attention I1,pond,dance,opera,banjo,look left,window,clap,cats,garbage,potatoes,lion
